X,Y
655044,2293521
675239,2414758
1749231,1999174
1684273,1885814
730823,2103904
728508,2548305
818440,2609914
757565,2375896
1730642,1411373
348930,504758
1445874,1171536
2015558,2496742
1678942,1768407
1112261,2122613
1546763,1279580
1438740,439808
1478725,2394360
-2228255,1994078
-1956426,1274024
2083720,2345314
-101808,563204
1748946,1974208
1116638,2121316
760473,879010
992155,840015
-2119821,2974403
1266317,1269873
1791127,1650787
1796976,1896917
1317085,614903
610923,774981
-103625,550411
1825820,2022209
712647,836114
673796,820125
1368501,2352793
720222,821896
717579,834608
1723276,1727952
876063,2584835
267490,797378
1475664,2395694
795861,2237849
1609208,2586943
461116,744003
747349,828650
2243890,2750050
-207154,387777
241839,1875705
-699636,723624
777245,1012336
377693,1426967
124204,1599643
-991449,1311618
-620959,1232200
-495617,1520423
-680853,1675617
-399343,1005281
-1000241,1116814
-1255981,1398857
-561029,1743002
-1172315,1262058
-1254817,1081436
-922116,1469249
-794667,1803702
-668236,1694265
-881609,1558063
-658952,1601101
-637340,1888218
-912939,1880656
1410574,1899325
1749681,1768839
1503079,1569547
1701028,2052772
-1888366,2511912
-1289517,2978367
-1176839,2387890
-1456868,2038383
-1620363,2898107
-1928646,2334992
-1089659,2737042
-2253631,2591369
-2202101,2270204
-1876120,3090445
-49900,2304924
9436,2811893
-785795,1122101
-1066401,1406576
-1218951,1707983
-1451931,1075743
-777638,1821984
-1115332,1404604
-1178135,1763067
-1191237,1666103
-1501033,1738374
-756223,1145610
-816185,1268664
-1416322,1131811
-1366095,1050714
-1858652,1713798
-1940792,1369578
-1682312,1246360
-1436266,1220041
-1023674,1273063
-1371714,1648364
-1519215,1714260
-1572769,1125600
-1282464,1613441
-1522679,1872027
-1060315,1509158
-1540882,1234880
1199883,1466843
-97315,1452511
-98809,1454432
397203,788211
26121,967312
2004796,2311917
1192469,2017458
224659,2064441
1351074,1247426
1090815,981533
968379,1495722
817771,1080428
943277,1329723
840524,1277506
785712,1324566
776855,863560
1349886,908676
730900,1115360
757979,1334767
754757,1298669
907098,1340339
843545,1069184
808943,1802521
1819943,2301078
1285453,2470256
1603255,2327351
910458,1028871
915044,1215070
1479118,431241
-2161816,1862073
-2313177,2030564
-680587,2844724
-447259,2131335
-1090250,1988929
-347653,2344402
-668173,2421620
-1028386,1962266
2118433,2978955
