Descriptio	freq	token
Cream mudstone	115	2
Cretaceous	318	2
Crumbly clay	126	0
Dark brown clay	1095	0
DARK BROWN CLAY	122	0
Dark brown sandy clay	170	0
Dark brown silty clay	224	0
Dark brown top soil	140	0
Dark clay	389	0
Dark grey clay	1341	0
DARK GREY CLAY	125	0
Dark grey mudstone	144	2
Dark grey sandy clay	346	0
Dark grey shale	514	2
Dark grey silty clay	139	0
Dark sand	109	0
Dark shale	499	2
Decomposed basalt	3840	0
Decomposed granite	1938	0
DECOMPOSED GRANITE	111	0
Decomposed rock	507	0
Decomposed sandstone	299	0
Decomposed shale	152	0
Decomposed stone	327	0
Diorite	683	2
Dirty brown sand	140	0
Dirty gravel	156	0
Dirty sand	211	0
Dolerite	1180	2
Dolomite	1427	2
DOLOMITE	327	2
"Dolomite, broken"	111	0
"Dolomite, fractured"	158	0
"Dolomite, grey"	251	2
"Dolomite, weathered"	182	0
Drift	885	0
Drift                              wb	185	0
Drift sand	578	0
Driller	2123	4
DRY LIMESTONE	114	2
Dry sand	572	0
Earth	285	0
Fill	684	5
Filling	325	5
Fine and coarse gravels            wb	103	0
Fine brown sand	946	0
Fine clayey sand	168	0
Fine drift	173	0
Fine gravel	359	0
Fine grey sand	776	0
Fine medium sand wet	256	0
Fine sand	5974	0
Fine sand                          wb	118	0
Fine sand - coarse	375	0
Fine sand - very coarse	329	0
Fine sand and clay	107	0
Fine sand layer	132	0
Fine sand wet	908	0
Fine sand.	164	0
Fine sands	352	0
Fine sandstone	288	0
Fine sandy clay	666	0
Fine silty sand	304	0
Fine to coarse sand	217	0
Fine to medium coarse sand wet	112	0
Fine to medium sand	593	0
Fine to medium sand wet	170	0
Fine to medium sands	102	0
Fine white sand	999	0
Fine white sand.	292	0
Fine yellow sand	539	0
Firm basalt	237	2
Firm blue basalt	120	2
Firm brown clay	168	0
Firm clay	101	0
Firm grey clay	230	0
Firm red clay	244	0
FLINT	138	2
Flint	112	2
Fossil limestone	205	2
Fractured basalt	1219	0
Fractured blue basalt	178	0
Fractured granite	116	0
FRACTURED SLATE	102	0
Fresh basalt	146	2
Fresh granite	362	2
GNEISS	148	2
Gneiss	108	2
Granite	6506	2
GRANITE	773	2
Granite brown weathered	142	0
Granite decomposed	1697	0
Granite decomposed water supply	795	0
Granite fresh	235	2
Granite grey	219	2
Granite grey water supply	102	0
Granite hard	445	1
Granite rock	129	2
Granite sand	204	0
Granite soft	115	0
Granite water supply	837	0
Granite weathered	514	0
Granite weathered water supply	135	0
Granite white kaolinised	149	2
"Granite, blue"	137	2
"Granite, decomposed"	533	0
"Granite, fresh"	180	2
"Granite, granite"	248	2
"Granite, grey"	176	2
"Granite, hard"	189	1
"Granite, weathered"	462	0
"Granite, weathered granite"	134	0
Granite.	121	2
Gravel	6510	0
Gravel                             wb	358	0
Gravel - unconsolidated	117	0
Gravel - unconsolidated - gravel - 90% ; clay - 10%	178	0
Gravel - unconsolidated - gravel - 99%	124	0
Gravel & clay	454	0
Gravel & sand	256	0
Gravel (water)	134	0
Gravel and clay	458	0
Gravel and sand	454	0
Gravel coarse	116	0
"Gravel, coarse"	123	0
Gravelly clay	1373	0
GRAVELLY CLAY	234	0
Gravelly sand	147	0
Gravels	656	0
Gravely clay	280	0
Green clay	526	0
GREEN CLAY	159	0
Green clay.	127	0
GREEN LIMESTONE	169	2
Green sandstone	245	0
Green sandy clay	165	0
Green shale	207	2
Grey	155	4
Grey & brown clay	672	0
Grey & brown clay moist	103	0
Grey & brown sandy clay	160	0
Grey & brown shale	146	2
Grey & brown silty clay	245	0
Grey & orange clay	110	0
Grey & red clay	122	0
Grey & yellow clay	298	0
Grey and brown clay	671	0
Grey and brown clays	188	0
Grey and brown sandy clay	134	0
Grey and orange clay	115	0
Grey and red clay	119	0
Grey and yellow clay	369	0
Grey basalt	707	2
Grey brown clay	1254	0
Grey brown clay moist	318	0
Grey brown s/c	165	2
Grey brown sandy clay	263	0
Grey brown sandy clay moist	148	0
Grey brown silty clay	292	0
Grey brown silty clay moist	653	0
